percentile,score
100,1600
99.8,1590
99.6,1580
99.4,1570
99.2,1560
99,1550
98.8,1540
98.6,1530
98.4,1520
98.2,1510
98,1500
97.6,1490
97.2,1480
96.8,1470
96.4,1460
96,1450
95.6,1440
95.2,1430
94.8,1420
94.4,1410
94,1400
93.6,1390
93.2,1380
92.8,1370
92.4,1360
90,1350
87.6,1340
85.2,1330
82.8,1320
80.4,1310
86,1300
85,1290
84,1280
83,1270
82,1260
81,1250
79.6,1240
78.2,1230
76.8,1220
75.4,1210
74,1200
72.6,1190
71.2,1180
69.8,1170
68.4,1160
67,1150
65.4,1140
63.8,1130
62.2,1120
60.6,1110
59,1100
57.2,1090
55.4,1080
53.6,1070
51.8,1060
50,1050
48.2,1040
46.4,1030
44.6,1020
42.8,1010
41,1000
39.4,990
37.8,980
36.2,970
34.6,960
33,950
31.4,940
29.8,930
28.2,920
26.6,910
25,900
23.6,890
22.2,880
20.8,870
19.4,860
18,850
16.6,840
15.2,830
13.8,820
12.4,810
11,800
10,790
9,780
8,770
7,760
6,750
5.4,740
4.8,730
4.2,720
3.6,710
3,700
2.6,690
2.2,680
1.8,670
1.4,660
1,650
0.96,640
0.92,630
0.88,620
0.84,610
0.8,600
0.76,590
0.72,580
0.68,570
0.64,560
0.6,550
0.56,540
0.52,530
0.48,520
0.44,510
0.4,500
0.36,490
0.32,480
0.28,470
0.24,460
0.2,450
0.16,440
0.12,430
0.08,420
0.04,410
0,400